	SPY	Stock Price	Cash	Portfolio Value
2014-04-17	100	178.062839	4339.017	22145.3009
2014-04-21	0	178.683793	22207.3963	22207.3963
2014-04-22	0	179.495825	22207.3963	22207.3963
2014-04-23	100	179.07548	4299.8483	22207.3963
2014-04-24	0	179.438508	22243.6991	22243.6991
2014-04-25	100	177.9673	4446.9691	22243.6991
2014-04-28	100	178.530953	4446.9691	22300.0644
2014-04-29	100	179.36208	4446.9691	22383.1771
2014-04-30	100	179.897059	4446.9691	22436.675
2014-05-01	0	179.91617	22438.5861	22438.5861
2014-05-02	-100	179.658228	40404.4089	22438.5861
2014-05-05	-100	180.002145	40404.4089	22404.1944
2014-05-06	-100	178.435414	40404.4089	22560.8675
2014-05-07	-100	179.486277	40404.4089	22455.7812
2014-05-08	-100	179.2952	40404.4089	22474.8889
2014-05-09	0	179.562704	22448.1385	22448.1385
2014-05-12	100	181.310934	4317.0451	22448.1385
2014-05-13	0	181.473352	22464.3803	22464.3803
2014-05-14	-100	180.613552	40525.7355	22464.3803
2014-05-15	-100	179.027711	40525.7355	22622.9644
2014-05-16	0	179.64868	22560.8675	22560.8675
2014-05-19	100	180.307856	4530.0819	22560.8675
2014-05-20	100	179.171018	4530.0819	22447.1837
2014-05-21	100	180.680432	4530.0819	22598.1251
2014-05-22	100	181.119873	4530.0819	22642.0692
2014-05-23	100	181.845928	4530.0819	22714.6747
2014-05-27	100	182.963655	4530.0819	22826.4474
2014-05-28	100	182.829911	4530.0819	22813.073
2014-05-29	100	183.775672	4530.0819	22907.6491
2014-05-30	100	184.07182	4530.0819	22937.2639
2014-06-02	100	184.281993	4530.0819	22958.2812
2014-06-03	100	184.186469	4530.0819	22948.7288
2014-06-04	100	184.559045	4530.0819	22985.9864
2014-06-05	100	185.762748	4530.0819	23106.3567
2014-06-06	0	186.651207	23195.2026	23195.2026
2014-06-09	100	186.842269	4510.9757	23195.2026
2014-06-10	100	186.861379	4510.9757	23197.1136
2014-06-11	100	186.211751	4510.9757	23132.1508
2014-06-12	0	184.893399	23000.3156	23000.3156
2014-06-13	0	185.457052	23000.3156	23000.3156
2014-06-16	0	185.609892	23000.3156	23000.3156
2014-06-17	0	186.125776	23000.3156	23000.3156
2014-06-18	0	187.491882	23000.3156	23000.3156
2014-06-19	100	187.702054	4230.1102	23000.3156
2014-06-20	0	188.083151	23038.4253	23038.4253
2014-06-23	-100	188.025559	41840.9812	23038.4253
2014-06-24	-100	186.892868	41840.9812	23151.6944
2014-06-25	-100	187.737586	41840.9812	23067.2226
2014-06-26	0	187.6032	23080.6612	23080.6612
2014-06-27	100	187.967968	4283.8644	23080.6612
2014-06-30	100	187.871972	4283.8644	23071.0616
2014-07-01	100	189.129441	4283.8644	23196.8085
2014-07-02	0	189.321418	23216.0062	23216.0062
2014-07-03	-100	190.252524	42241.2586	23216.0062
2014-07-07	-100	189.590189	42241.2586	23282.2397
2014-07-08	-100	188.371125	42241.2586	23404.1461
2014-07-09	-100	189.215828	42241.2586	23319.6758
2014-07-10	-100	188.467106	42241.2586	23394.548
2014-07-11	-100	188.726284	42241.2586	23368.6302
2014-07-14	-100	189.676592	42241.2586	23273.5994
2014-07-15	0	189.321418	23309.1168	23309.1168
2014-07-16	0	190.022157	23309.1168	23309.1168
2014-07-17	0	187.862378	23309.1168	23309.1168
2014-07-18	100	189.782181	4330.8987	23309.1168
2014-07-21	100	189.427008	4330.8987	23273.5995
2014-07-22	0	190.252524	23356.1511	23356.1511
2014-07-23	0	190.674883	23356.1511	23356.1511
2014-07-24	-100	190.684477	42424.5988	23356.1511
2014-07-25	0	189.791775	23445.4213	23445.4213
2014-07-28	0	189.868569	23445.4213	23445.4213
2014-07-29	0	189.052647	23445.4213	23445.4213
2014-07-30	-100	189.081443	42353.5656	23445.4213
2014-07-31	-100	185.347425	42353.5656	23818.8231
2014-08-01	0	184.781087	23875.4569	23875.4569
2014-08-04	0	186.11535	23875.4569	23875.4569
2014-08-05	100	184.31073	5444.3839	23875.4569
2014-08-06	100	184.368336	5444.3839	23881.2175
2014-08-07	100	183.37003	5444.3839	23781.3869
2014-08-08	0	185.491419	23993.5258	23993.5258
2014-08-11	-100	186.028962	42596.422	23993.5258
2014-08-12	0	185.769785	24019.4435	24019.4435
2014-08-13	0	187.027253	24019.4435	24019.4435
2014-08-14	0	187.910361	24019.4435	24019.4435
2014-08-15	0	187.871972	24019.4435	24019.4435
2014-08-18	0	189.44621	24019.4435	24019.4435
2014-08-19	100	190.434908	4975.9527	24019.4435
2014-08-20	100	190.943654	4975.9527	24070.3181
2014-08-21	100	191.500399	4975.9527	24125.9926
2014-08-22	100	191.202832	4975.9527	24096.2359
2014-08-25	100	192.172327	4975.9527	24193.1854
2014-08-26	100	192.297119	4975.9527	24205.6646
2014-08-27	100	192.220325	4975.9527	24197.9852
2014-08-28	100	192.114736	4975.9527	24187.4263
2014-08-29	100	192.661887	4975.9527	24242.1414
2014-09-02	100	192.565891	4975.9527	24232.5418
2014-09-03	100	192.460301	4975.9527	24221.9828
2014-09-04	100	192.181936	4975.9527	24194.1463
2014-09-05	100	193.045842	4975.9527	24280.5369
2014-09-08	0	192.546689	24230.6216	24230.6216
2014-09-09	0	191.327624	24230.6216	24230.6216
2014-09-10	100	192.04755	5025.8666	24230.6216
2014-09-11	0	192.268323	24252.6989	24252.6989
2014-09-12	-100	191.14524	43367.2229	24252.6989
2014-09-15	0	191.001246	24267.0983	24267.0983
