	AAPL	Stock Price	Cash	Portfolio Value
2013-09-18	0	62.490353	12362.9261	12362.9261
2013-09-19	100	63.515092	6011.4169	12362.9261
2013-09-20	100	62.857484	6011.4169	12297.1653
2013-09-23	100	65.981465	6011.4169	12609.5634
2013-09-24	0	65.774364	12588.8533	12588.8533
2013-09-25	100	64.756348	6113.2185	12588.8533
2013-09-26	0	65.387059	12651.9244	12651.9244
2013-09-27	0	64.920414	12651.9244	12651.9244
2013-09-30	0	64.113528	12651.9244	12651.9244
2013-10-01	-100	65.621057	19214.0301	12651.9244
2013-10-02	0	65.836223	12630.4078	12630.4078
2013-10-03	-100	65.00917	19131.3248	12630.4078
2013-10-04	0	64.958069	12635.5179	12635.5179
2013-10-07	100	65.592817	6076.2362	12635.5179
2013-10-08	100	64.677001	6076.2362	12543.9363
2013-10-09	100	65.436816	6076.2362	12619.9178
2013-10-10	100	65.846982	6076.2362	12660.9344
2013-10-11	0	66.273285	12703.5647	12703.5647
2013-10-14	0	66.707655	12703.5647	12703.5647
2013-10-15	0	67.062684	12703.5647	12703.5647
2013-10-16	100	67.389473	5964.6174	12703.5647
2013-10-17	100	67.84536	5964.6174	12749.1534
2013-10-18	100	68.43573	5964.6174	12808.1904
2013-10-21	100	70.112704	5964.6174	12975.8878
2013-10-22	0	69.912326	12955.85	12955.85
2013-10-23	100	70.596831	5896.1669	12955.85
2013-10-24	100	71.531471	5896.1669	13049.314
2013-10-25	0	70.731314	12969.2983	12969.2983
2013-10-28	-100	71.258475	20095.1458	12969.2983
2013-10-29	-100	69.483336	20095.1458	13146.8122
2013-10-30	-100	70.588765	20095.1458	13036.2693
2013-10-31	0	70.292901	13065.8557	13065.8557
2013-11-01	0	69.933843	13065.8557	13065.8557
2013-11-04	0	70.837551	13065.8557	13065.8557
2013-11-05	-100	70.662726	20132.1283	13065.8557
2013-11-06	-100	70.46253	20132.1283	13085.8753
2013-11-07	-100	69.322243	20132.1283	13199.904
2013-11-08	-100	70.413833	20132.1283	13090.745
2013-11-11	-100	70.209583	20132.1283	13111.17
2013-11-12	-100	70.339434	20132.1283	13098.1849
2013-11-13	0	70.423304	13089.7979	13089.7979
2013-11-14	-100	71.441853	20233.9832	13089.7979
2013-11-15	0	71.013061	13132.6771	13132.6771
2013-11-18	100	70.152767	6117.4004	13132.6771
2013-11-19	0	70.277214	13145.1218	13145.1218
2013-11-20	100	69.661754	6178.9464	13145.1218
2013-11-21	100	70.492286	6178.9464	13228.175
2013-11-22	0	70.311029	13210.0493	13210.0493
2013-11-25	100	70.843977	6125.6516	13210.0493
2013-11-26	100	72.150639	6125.6516	13340.7155
2013-11-27	0	73.849577	13510.6093	13510.6093
2013-11-29	-100	75.217109	21032.3202	13510.6093
2013-12-02	0	74.562431	13576.0771	13576.0771
2013-12-03	0	76.603582	13576.0771	13576.0771
2013-12-04	0	76.425035	13576.0771	13576.0771
2013-12-05	0	76.817303	13576.0771	13576.0771
2013-12-06	0	75.751408	13576.0771	13576.0771
2013-12-09	0	76.618463	13576.0771	13576.0771
2013-12-10	0	76.499427	13576.0771	13576.0771
2013-12-11	0	75.932664	13576.0771	13576.0771
2013-12-12	0	75.821747	13576.0771	13576.0771
2013-12-13	0	74.995276	13576.0771	13576.0771
2013-12-16	0	75.410545	13576.0771	13576.0771
2013-12-17	0	75.071026	13576.0771	13576.0771
2013-12-18	0	74.500203	13576.0771	13576.0771
2013-12-19	100	73.646678	6211.4093	13576.0771
2013-12-20	100	74.263489	6211.4093	13637.7582
2013-12-23	100	77.113536	6211.4093	13922.7629
2013-12-24	0	76.786189	13890.0282	13890.0282
2013-12-26	100	76.276243	6262.4039	13890.0282
2013-12-27	0	75.760878	13838.4917	13838.4917
2013-12-30	0	75.007448	13838.4917	13838.4917
2013-12-31	0	75.886676	13838.4917	13838.4917
2014-01-02	-100	74.81943	21320.4347	13838.4917
2014-01-03	0	73.175958	14002.8389	14002.8389
2014-01-06	-100	73.574988	21360.3377	14002.8389
2014-01-07	0	73.048809	14055.4568	14055.4568
2014-01-08	0	73.511417	14055.4568	14055.4568
2014-01-09	100	72.57267	6798.1898	14055.4568
2014-01-10	100	72.088419	6798.1898	14007.0317
2014-01-13	100	72.465814	6798.1898	14044.7712
2014-01-14	100	73.907745	6798.1898	14188.9643
2014-01-15	100	75.391604	6798.1898	14337.3502
2014-01-16	0	74.970931	14295.2829	14295.2829
2014-01-17	0	73.134023	14295.2829	14295.2829
2014-01-21	0	74.27025	14295.2829	14295.2829
2014-01-22	100	74.600299	6835.253	14295.2829
2014-01-23	0	75.23199	14358.452	14358.452
2014-01-24	0	73.864459	14358.452	14358.452
2014-01-27	-100	74.463686	21804.8206	14358.452
2014-01-28	0	68.511996	14953.621	14953.621
2014-01-29	0	67.734221	14953.621	14953.621
2014-01-30	100	67.603012	8193.3198	14953.621
2014-01-31	100	67.713929	8193.3198	14964.7127
2014-02-03	100	67.839727	8193.3198	14977.2925
2014-02-04	100	68.821759	8193.3198	15075.4957
2014-02-05	100	69.335766	8193.3198	15126.8964
2014-02-06	100	69.739904	8193.3198	15167.3102
2014-02-07	100	70.715562	8193.3198	15264.876
2014-02-10	100	71.982424	8193.3198	15391.5622
2014-02-11	0	72.930866	15486.4064	15486.4064
2014-02-12	0	72.925423	15486.4064	15486.4064
2014-02-13	100	74.083422	8078.0642	15486.4064
2014-02-14	100	74.023555	8078.0642	15480.4197
2014-02-18	0	74.295704	15507.6346	15507.6346
2014-02-19	-100	73.122734	22819.908	15507.6346
2014-02-20	-100	72.276345	22819.908	15592.2735
2014-02-21	-100	71.473502	22819.908	15672.5578
2014-02-24	-100	71.786478	22819.908	15641.2602
2014-02-25	-100	71.039424	22819.908	15715.9656
2014-02-26	0	70.398508	15780.0572	15780.0572
2014-02-27	0	71.802807	15780.0572	15780.0572
2014-02-28	100	71.608214	8619.2358	15780.0572
2014-03-03	0	71.815053	15800.7411	15800.7411
2014-03-04	0	72.288591	15800.7411	15800.7411
2014-03-05	0	72.440998	15800.7411	15800.7411
2014-03-06	100	72.221914	8578.5497	15800.7411
2014-03-07	100	72.179735	8578.5497	15796.5232
2014-03-10	100	72.245046	8578.5497	15803.0543
2014-03-11	100	72.948554	8578.5497	15873.4051
2014-03-12	0	73.019315	15880.4812	15880.4812
2014-03-13	-100	72.20831	23101.3122	15880.4812
2014-03-14	-100	71.397298	23101.3122	15961.5824
2014-03-17	-100	71.676256	23101.3122	15933.6866
2014-03-18	-100	72.310363	23101.3122	15870.2759
2014-03-19	0	72.291316	15872.1806	15872.1806
2014-03-20	100	71.942963	8677.8843	15872.1806
2014-03-21	100	72.510393	8677.8843	15928.9236
2014-03-24	100	73.370393	8677.8843	16014.9236
2014-03-25	0	74.159626	16093.8469	16093.8469
2014-03-26	100	73.450674	8748.7795	16093.8469
2014-03-27	100	73.13498	8748.7795	16062.2775
2014-03-28	100	73.053333	8748.7795	16054.1128
2014-03-31	0	73.037003	16052.4798	16052.4798
2014-04-01	0	73.705135	16052.4798	16052.4798
2014-04-02	100	73.827602	8669.7196	16052.4798
2014-04-03	0	73.315962	16001.3158	16001.3158
2014-04-04	0	72.36752	16001.3158	16001.3158
2014-04-07	0	71.231286	16001.3158	16001.3158
2014-04-08	0	71.227209	16001.3158	16001.3158
2014-04-09	-100	72.163406	23217.6564	16001.3158
2014-04-10	-100	71.232652	23217.6564	16094.3912
2014-04-11	0	70.706042	16147.0522	16147.0522
2014-04-14	-100	70.987711	23245.8233	16147.0522
2014-04-15	0	70.481514	16197.6719	16197.6719
2014-04-16	100	70.624395	9135.2324	16197.6719
2014-04-17	0	71.431323	16278.3647	16278.3647
2014-04-21	100	72.279071	9050.4576	16278.3647
2014-04-22	100	72.35119	9050.4576	16285.5766
2014-04-23	100	71.405466	9050.4576	16191.0042
2014-04-24	100	77.259421	9050.4576	16776.3997
2014-04-25	100	77.826851	9050.4576	16833.1427
2014-04-28	0	80.840922	17134.5498	17134.5498
2014-04-29	100	80.601425	9074.4073	17134.5498
2014-04-30	100	80.296616	9074.4073	17104.0689
2014-05-01	0	80.485767	17122.984	17122.984
2014-05-02	0	80.63545	17122.984	17122.984
2014-05-05	0	81.775753	17122.984	17122.984
2014-05-06	-100	80.884468	25211.4308	17122.984
2014-05-07	0	80.601425	17151.2883	17151.2883
2014-05-08	0	80.457751	17151.2883	17151.2883
2014-05-09	100	80.122506	9139.0377	17151.2883
2014-05-12	100	81.120034	9139.0377	17251.0411
2014-05-13	0	81.247292	17263.7669	17263.7669
2014-05-14	0	81.262339	17263.7669	17263.7669
2014-05-15	100	80.571322	9206.6347	17263.7669
2014-05-16	100	81.760423	9206.6347	17382.677
2014-05-19	100	82.729217	9206.6347	17479.5564
2014-05-20	0	82.745638	17481.1985	17481.1985
2014-05-21	100	82.964572	9184.7413	17481.1985
2014-05-22	100	83.095929	9184.7413	17494.3342
2014-05-23	100	84.034622	9184.7413	17588.2035
2014-05-27	100	85.608231	9184.7413	17745.5644
2014-05-28	0	85.386556	17723.3969	17723.3969
2014-05-29	100	86.94237	9029.1599	17723.3969
2014-05-30	0	86.616706	17690.8305	17690.8305
2014-06-02	100	86.021471	9088.6834	17690.8305
2014-06-03	100	87.237933	9088.6834	17812.4767
2014-06-04	0	88.234095	17912.0929	17912.0929
2014-06-05	100	88.580287	9054.0642	17912.0929
2014-06-06	100	88.336725	9054.0642	17887.7367
2014-06-09	100	89.750227	9054.0642	18029.0869
2014-06-10	100	90.277046	9054.0642	18081.7688
2014-06-11	0	89.903486	18044.4128	18044.4128
2014-06-12	0	88.399667	18044.4128	18044.4128
2014-06-13	0	87.43224	18044.4128	18044.4128
2014-06-16	-100	88.313457	26875.7585	18044.4128
2014-06-17	-100	88.198521	26875.7585	18055.9064
2014-06-18	-100	88.294304	26875.7585	18046.3281
2014-06-19	-100	87.987793	26875.7585	18076.9792
2014-06-20	0	87.077842	18167.9743	18167.9743
2014-06-23	0	87.001212	18167.9743	18167.9743
2014-06-24	100	86.474394	9520.5349	18167.9743
2014-06-25	0	86.551023	18175.6372	18175.6372
2014-06-26	0	87.068261	18175.6372	18175.6372
2014-06-27	100	88.102737	9365.3635	18175.6372
2014-06-30	100	89.012689	9365.3635	18266.6324
2014-07-01	0	89.577815	18323.145	18323.145
2014-07-02	100	89.539507	9369.1943	18323.145
2014-07-03	100	90.066319	9369.1943	18375.8262
2014-07-07	100	91.924543	9369.1943	18561.6486
2014-07-08	0	91.330676	18502.2619	18502.2619
2014-07-09	-100	91.368991	27639.161	18502.2619
2014-07-10	0	91.033746	18535.7864	18535.7864
2014-07-11	100	91.206158	9415.1706	18535.7864
2014-07-14	100	92.384306	9415.1706	18653.6012
2014-07-15	0	91.301942	18545.3648	18545.3648
2014-07-16	-100	90.784704	27623.8352	18545.3648
2014-07-17	-100	89.16594	27623.8352	18707.2412
2014-07-18	-100	90.449459	27623.8352	18578.8893
2014-07-21	-100	89.980116	27623.8352	18625.8236
2014-07-22	0	90.727235	18551.1117	18551.1117
2014-07-23	0	93.093117	18551.1117	18551.1117
