	IBM	Stock Price	Cash	Portfolio Value
2014-02-11	0	166.046218	30988.4401	30988.4401
2014-02-12	100	166.545197	14333.9204	30988.4401
2014-02-13	0	168.023619	31136.2823	31136.2823
2014-02-14	0	169.733059	31136.2823	31136.2823
2014-02-18	0	169.27105	31136.2823	31136.2823
2014-02-19	100	169.04928	14231.3543	31136.2823
2014-02-20	100	170.259743	14231.3543	31257.3286
2014-02-21	100	168.901434	14231.3543	31121.4977
2014-02-24	0	169.51129	31182.4833	31182.4833
2014-02-25	0	169.308005	31182.4833	31182.4833
2014-02-26	100	170.074942	14174.9891	31182.4833
2014-02-27	100	171.193011	14174.9891	31294.2902
2014-02-28	100	171.100604	14174.9891	31285.0495
2014-03-03	100	170.259743	14174.9891	31200.9634
2014-03-04	0	172.274112	31402.4003	31402.4003
2014-03-05	0	172.920922	31402.4003	31402.4003
2014-03-06	0	173.382932	31402.4003	31402.4003
2014-03-07	-100	173.419886	48744.3889	31402.4003
2014-03-10	0	172.227908	31521.5981	31521.5981
2014-03-11	-100	172.569791	48778.5772	31521.5981
2014-03-12	0	172.070827	31571.4945	31571.4945
2014-03-13	-100	169.927096	48564.2041	31571.4945
2014-03-14	0	168.365515	31727.6526	31727.6526
2014-03-17	100	171.691975	14558.4551	31727.6526
2014-03-18	100	172.615994	14558.4551	31820.0545
2014-03-19	100	170.675563	14558.4551	31626.0114
2014-03-20	0	173.623172	31920.7723	31920.7723
2014-03-21	100	172.486632	14672.1091	31920.7723
2014-03-24	100	173.946584	14672.1091	32066.7675
2014-03-25	0	180.220667	32694.1758	32694.1758
2014-03-26	-100	177.984543	50492.6301	32694.1758
2014-03-27	0	175.406536	32951.9765	32951.9765
2014-03-28	0	175.979423	32951.9765	32951.9765
2014-03-31	100	177.86443	15165.5335	32951.9765
2014-04-01	0	179.721703	33137.7038	33137.7038
2014-04-02	100	178.843888	15253.315	33137.7038
2014-04-03	100	178.049231	15253.315	33058.2381
2014-04-04	100	177.199135	15253.315	32973.2285
2014-04-07	100	179.740187	15253.315	33227.3337
2014-04-08	100	178.603634	15253.315	33113.6784
2014-04-09	100	181.699103	15253.315	33423.2253
2014-04-10	100	180.812039	15253.315	33334.5189
2014-04-11	100	180.359278	15253.315	33289.2428
2014-04-14	100	182.743249	15253.315	33527.6399
2014-04-15	100	182.050235	15253.315	33458.3385
2014-04-16	0	181.477334	33401.0484	33401.0484
2014-04-17	0	175.572852	33401.0484	33401.0484
2014-04-21	-100	177.661145	51167.1629	33401.0484
2014-04-22	-100	177.550253	51167.1629	33412.1376
2014-04-23	-100	177.162166	51167.1629	33450.9463
