	GOOG	Stock Price	Cash	Portfolio Value
2013-10-04	-100	435.739997	98020.1563	54446.1566
2013-10-07	-100	432.438319	98020.1563	54776.3244
2013-10-08	-100	426.409319	98020.1563	55379.2244
2013-10-09	0	427.503228	55269.8335	55269.8335
2013-10-10	100	433.687071	11901.1264	55269.8335
2013-10-11	100	435.560183	11901.1264	55457.1447
2013-10-14	100	437.618129	11901.1264	55662.9393
2013-10-15	100	440.565198	11901.1264	55957.6462
2013-10-16	0	448.567193	56757.8457	56757.8457
2013-10-17	100	443.951796	12362.6661	56757.8457
2013-10-18	100	505.200653	12362.6661	62882.7314
2013-10-21	100	501.149699	12362.6661	62477.636
2013-10-22	0	502.997872	62662.4533	62662.4533
2013-10-23	-100	515.1907	114181.5233	62662.4533
2013-10-24	-100	512.263613	114181.5233	62955.162
2013-10-25	0	507.09378	63472.1453	63472.1453
2013-10-28	100	506.993866	12772.7587	63472.1453
2013-10-29	0	517.603255	64533.0842	64533.0842
2013-10-30	100	514.696181	13063.4661	64533.0842
2013-10-31	0	514.776112	64541.0773	64541.0773
2013-11-01	0	513.00787	64541.0773	64541.0773
2013-11-04	-100	512.543341	115795.4114	64541.0773
2013-11-05	-100	510.250622	115795.4114	64770.3492
2013-11-06	-100	510.865006	115795.4114	64708.9108
2013-11-07	-100	503.472377	115795.4114	65448.1737
2013-11-08	-100	507.508367	115795.4114	65044.5747
2013-11-11	-100	504.791084	115795.4114	65316.303
2013-11-12	0	505.385486	65256.8628	65256.8628
2013-11-13	0	515.720166	65256.8628	65256.8628
2013-11-14	-100	517.09876	116966.7388	65256.8628
2013-11-15	0	516.264626	65340.2762	65340.2762
2013-11-18	0	515.260594	65340.2762	65340.2762
2013-11-19	-100	512.088788	116549.155	65340.2762
2013-11-20	0	510.645227	65484.6323	65484.6323
2013-11-21	0	516.519352	65484.6323	65484.6323
2013-11-22	0	515.430432	65484.6323	65484.6323
2013-11-25	100	522.443481	13240.2842	65484.6323
2013-11-26	100	528.677234	13240.2842	66108.0076
2013-11-27	0	531.024914	66342.7756	66342.7756
2013-11-29	0	529.266617	66342.7756	66342.7756
2013-12-02	100	526.714214	13671.3542	66342.7756
2013-12-03	0	526.104818	66281.836	66281.836
2013-12-04	0	528.562356	66281.836	66281.836
2013-12-05	0	528.14275	66281.836	66281.836
2013-12-06	100	534.401535	12841.6825	66281.836
2013-12-09	100	538.53242	12841.6825	66694.9245
2013-12-10	0	541.789145	67020.597	67020.597
2013-12-11	100	538.107795	13209.8175	67020.597
2013-12-12	0	534.446458	66654.4633	66654.4633
2013-12-13	0	529.866038	66654.4633	66654.4633
2013-12-16	0	535.954985	66654.4633	66654.4633
2013-12-17	0	534.396516	66654.4633	66654.4633
2013-12-18	0	541.834068	66654.4633	66654.4633
2013-12-19	100	542.56838	12397.6253	66654.4633
2013-12-20	100	549.761182	12397.6253	67373.7435
2013-12-23	0	556.993949	68097.0202	68097.0202
2013-12-24	100	555.365586	12560.4616	68097.0202
2013-12-26	100	558.172777	12560.4616	68377.7393
2013-12-27	0	558.642325	68424.6941	68424.6941
2013-12-30	100	554.176782	13007.0159	68424.6941
2013-12-31	100	559.796182	13007.0159	68986.6341
2014-01-02	100	556.004972	13007.0159	68607.5131
2014-01-03	100	551.948999	13007.0159	68201.9158
2014-01-06	100	558.102883	13007.0159	68817.3042
2014-01-07	0	568.862096	69893.2255	69893.2255
2014-01-08	0	570.045943	69893.2255	69893.2255
2014-01-09	100	564.556416	13437.5839	69893.2255
2014-01-10	0	564.526426	69890.2265	69890.2265
2014-01-13	100	560.930026	13797.2239	69890.2265
2014-01-14	0	574.126886	71209.9125	71209.9125
2014-01-15	100	573.737269	13836.1856	71209.9125
2014-01-16	0	577.533436	71589.5292	71589.5292
2014-01-17	100	574.691299	14120.3993	71589.5292
2014-01-21	100	581.269747	14120.3993	72247.374
2014-01-22	100	581.929085	14120.3993	72313.3078
2014-01-23	0	579.471546	72067.5539	72067.5539
2014-01-24	0	561.35459	72067.5539	72067.5539
2014-01-27	0	550.065849	72067.5539	72067.5539
2014-01-28	0	560.94502	72067.5539	72067.5539
2014-01-29	0	552.908048	72067.5539	72067.5539
2014-01-30	100	567.128832	15354.6707	72067.5539
2014-01-31	0	589.896102	74344.2809	74344.2809
2014-02-03	100	566.149832	17729.2977	74344.2809
2014-02-04	100	568.512445	17729.2977	74580.5422
2014-02-05	100	571.029962	17729.2977	74832.2939
2014-02-06	100	579.401591	17729.2977	75669.4568
2014-02-07	100	588.132849	17729.2977	76542.5826
2014-02-10	100	585.880095	17729.2977	76317.3072
2014-02-11	100	594.496536	17729.2977	77178.9513
2014-02-12	0	592.753234	77004.6211	77004.6211
2014-02-13	100	599.351695	17069.4516	77004.6211
2014-02-14	100	600.800244	17069.4516	77149.476
2014-02-18	0	604.836204	77553.072	77553.072
2014-02-19	0	600.570489	77553.072	77553.072
2014-02-20	100	601.454563	17407.6157	77553.072
2014-02-21	100	601.294763	17407.6157	77537.092
2014-02-24	100	605.650385	17407.6157	77972.6542
2014-02-25	100	609.391653	17407.6157	78346.781
2014-02-26	100	609.476541	17407.6157	78355.2698
2014-02-27	100	608.997078	17407.6157	78307.3235
2014-02-28	100	607.21883	17407.6157	78129.4987
2014-03-03	100	600.745284	17407.6157	77482.1441
2014-03-04	0	606.849165	78092.5322	78092.5322
2014-03-05	0	608.522511	78092.5322	78092.5322
2014-03-06	-100	609.196844	139012.2166	78092.5322
2014-03-07	-100	606.789247	139012.2166	78333.2919
2014-03-10	0	605.180837	78494.1329	78494.1329
2014-03-11	0	599.396618	78494.1329	78494.1329
2014-03-12	-100	603.047979	138798.9308	78494.1329
2014-03-13	-100	593.937081	138798.9308	79405.2227
2014-03-14	-100	585.81522	138798.9308	80217.4088
2014-03-17	-100	595.455584	138798.9308	79253.3724
2014-03-18	-100	605.025994	138798.9308	78296.3314
2014-03-19	0	599.027014	78896.2294	78896.2294
2014-03-20	0	597.983016	78896.2294	78896.2294
2014-03-21	0	590.930063	78896.2294	78896.2294
2014-03-24	0	578.387583	78896.2294	78896.2294
2014-03-25	0	578.782219	78896.2294	78896.2294
2014-03-26	-100	565.420539	135438.2833	78896.2294
2014-03-27	0	558.462551	79592.0282	79592.0282
2014-03-28	0	559.992565	79592.0282	79592.0282
2014-03-31	0	556.972503	79592.0282	79592.0282
2014-04-01	0	567.162558	79592.0282	79592.0282
2014-04-02	0	567.002574	79592.0282	79592.0282
2014-04-03	0	569.742571	79592.0282	79592.0282
2014-04-04	0	543.14246	79592.0282	79592.0282
2014-04-07	0	538.152456	79592.0282	79592.0282
2014-04-08	100	554.902495	24101.7787	79592.0282
2014-04-09	0	564.142557	80516.0344	80516.0344
2014-04-10	0	540.952433	80516.0344	80516.0344
2014-04-11	0	530.602392	80516.0344	80516.0344
2014-04-14	100	532.522392	27263.7952	80516.0344
2014-04-15	0	536.442444	80908.0396	80908.0396
2014-04-16	-100	556.54249	136562.2886	80908.0396
2014-04-17	-100	536.1024	136562.2886	82952.0486
2014-04-21	0	528.622414	83700.0472	83700.0472
2014-04-22	-100	534.812425	137181.2897	83700.0472
2014-04-23	-100	526.942391	137181.2897	84487.0506
2014-04-24	-100	525.162363	137181.2897	84665.0534
2014-04-25	-100	516.182352	137181.2897	85563.0545
2014-04-28	0	517.152359	85466.0538	85466.0538
2014-04-29	0	527.70241	85466.0538	85466.0538
2014-04-30	0	526.662388	85466.0538	85466.0538
2014-05-01	0	531.352435	85466.0538	85466.0538
2014-05-02	0	527.932411	85466.0538	85466.0538
2014-05-05	0	527.812392	85466.0538	85466.0538
2014-05-06	-100	515.14233	136980.2868	85466.0538
2014-05-07	-100	509.962321	136980.2868	85984.0547
2014-05-08	0	511.002313	85880.0555	85880.0555
2014-05-09	0	518.732375	85880.0555	85880.0555
2014-05-12	0	529.922427	85880.0555	85880.0555
2014-05-13	100	533.092437	32570.8118	85880.0555
2014-05-14	100	526.652412	32570.8118	85236.053
2014-05-15	100	519.982324	32570.8118	84569.0442
2014-05-16	100	520.632362	32570.8118	84634.048
2014-05-19	100	528.862391	32570.8118	85457.0509
2014-05-20	0	529.772418	85548.0536	85548.0536
2014-05-21	0	538.942465	85548.0536	85548.0536
2014-05-22	0	545.062459	85548.0536	85548.0536
2014-05-23	100	552.702492	30277.8044	85548.0536
2014-05-27	100	565.952575	30277.8044	86873.0619
2014-05-28	100	561.682564	30277.8044	86446.0608
2014-05-29	0	560.082534	86286.0578	86286.0578
2014-05-30	0	559.892559	86286.0578	86286.0578
2014-06-02	-100	553.932488	141679.3066	86286.0578
2014-06-03	0	544.94244	87185.0626	87185.0626
2014-06-04	0	544.662436	87185.0626	87185.0626
2014-06-05	0	553.902499	87185.0626	87185.0626
2014-06-06	100	556.332503	31551.8123	87185.0626
2014-06-09	0	562.122552	87764.0675	87764.0675
2014-06-10	0	560.552511	87764.0675	87764.0675
2014-06-11	-100	558.842499	143648.3174	87764.0675
2014-06-12	-100	551.352476	143648.3174	88513.0698
